Walk,Grade,Length,Time,GPS START,Link,Hours,Biome,Region
"Loch Ruthven, near Farr",1,1km,30 minutes,"57.32270,-4.26330",https://www.walkhighlands.co.uk/lochness/loch-ruthven.shtml,0.5,Wetland,"Loch Ness, Glen Affric & the Black Isle"
"Urquhart Bay Woods, Drumnadrochit",1,2km,45 minutes,"57.33190,-4.46830",https://www.walkhighlands.co.uk/lochness/Urquhartwoods.shtml,0.75,Forest,"Loch Ness, Glen Affric & the Black Isle"
"Allt na Criche, near Fort Augustus",1,2.5km,1 hour,"57.15970,-4.66310",https://www.walkhighlands.co.uk/lochness/Alltnacriche.shtml,1,Forest,"Loch Ness, Glen Affric & the Black Isle"
"Oak and Juniper paths, Dundreggan",1,2.5km,1 hour,"57.19220,-4.76302",https://www.walkhighlands.co.uk/lochness/dundreggan.shtml,1,Forest,"Loch Ness, Glen Affric & the Black Isle"
"Change House Walk, Erchite Wood, Inverfarigaig",1,3km,1 hour,"57.32380,-4.40820",https://www.walkhighlands.co.uk/lochness/change-house.shtml,1,Lochside,"Loch Ness, Glen Affric & the Black Isle"
"Daviot Wood circuit, Daviot",1,3.75km,1 hour,"57.42480,-4.13050",https://www.walkhighlands.co.uk/lochness/daviot.shtml,1,Valley,"Loch Ness, Glen Affric & the Black Isle"
Falls of Foyers,1,4.5km,1.5 - 2 hours,"57.25040,-4.49050",https://www.walkhighlands.co.uk/lochness/Fallsoffoyers.shtml,2,Gorge,"Loch Ness, Glen Affric & the Black Isle"
"Inverarnie Esker Trail, Littlemill near Daviot",1,4.75km,1.5 hours,"57.40100,-4.16390",https://www.walkhighlands.co.uk/lochness/littlemill.shtml,1.5,Valley,"Loch Ness, Glen Affric & the Black Isle"
"River Oich Trail, Fort Augustus",1,5.9km,1.5 - 2 hours,"57.14260,-4.70020",https://www.walkhighlands.co.uk/lochness/Riveroich.shtml,2,River,"Loch Ness, Glen Affric & the Black Isle"
"Loch Ness and Torr Woods circular, Dores",1,7km,1.5 - 2 hours,"57.38440,-4.32900",https://www.walkhighlands.co.uk/lochness/Aldourie.shtml,2,Forest,"Loch Ness, Glen Affric & the Black Isle"
Fort Augustus Explorer,1,7.75km,2 - 2.5 hours,"57.14640,-4.68160",https://www.walkhighlands.co.uk/lochness/fort-augustus.shtml,2.5,Canal,"Loch Ness, Glen Affric & the Black Isle"
"Jenkins Park, near Fort Augustus",1,7.8km,2 - 2.5 hours,"57.14910,-4.68370",https://www.walkhighlands.co.uk/lochness/Jenkinspark.shtml,2.5,Forest,"Loch Ness, Glen Affric & the Black Isle"
"Three Lochs circuit, south Loch Ness",1,10.3km,2 - 3 hours,"57.35910,-4.25010",https://www.walkhighlands.co.uk/lochness/Threelochs.shtml,3,Moorland,"Loch Ness, Glen Affric & the Black Isle"
"Old Coffin Road, near Abriachan",2,4km,1.5 hours,"57.36520,-4.39220",https://www.walkhighlands.co.uk/lochness/coffin-road.shtml,1.5,Moorland,"Loch Ness, Glen Affric & the Black Isle"
"Ceum an Fhraoich (Heather path), Dundreggan",2,4.25km,1.5 - 2 hours,"57.19220,-4.76302",https://www.walkhighlands.co.uk/lochness/ceum-an-fhraoich.shtml,2,Mountain,"Loch Ness, Glen Affric & the Black Isle"
"Càrn na h-Easgainn, near Moy",2,6.25km,2 - 3 hours,"57.37920,-4.05500",https://www.walkhighlands.co.uk/lochness/carn-na-h-easgainn.shtml,3,Mountain,"Loch Ness, Glen Affric & the Black Isle"
Abriachan Trails,2,9.2km,3 - 3.5 hours,"57.38630,-4.42970",https://www.walkhighlands.co.uk/lochness/Abriachan.shtml,3.5,Forest,"Loch Ness, Glen Affric & the Black Isle"
